date,US_CPI,US_UNEMPLOYMENT,US_GDP,US_2S10S_SPREAD
2022-01-01,7.558805726967832,4.0,1.7601113905277854,0.7835
2022-02-01,7.937278766517819,3.9,1.7601113905277854,0.49894736842105264
2022-03-01,8.572204966013853,3.7,1.7601113905277854,0.21826086956521737
2022-04-01,8.231750770777225,3.7,2.4195509075578325,0.20950000000000002
2022-05-01,8.538171195642065,3.6,2.4195509075578325,0.2814285714285714
2022-06-01,8.979361103105798,3.6,2.4195509075578325,0.14523809523809525
2022-07-01,8.462576727730099,3.5,1.8367682480828762,-0.13999999999999999
2022-08-01,8.222579178218826,3.6,1.8367682480828762,-0.3521739130434782
2022-09-01,8.192106896425821,3.5,1.8367682480828762,-0.3376190476190476
2022-10-01,7.758813957693,3.6,1.648712742684011,-0.3915
2022-11-01,7.122856456533988,3.6,1.648712742684011,-0.6125
2022-12-01,6.404600402357152,3.5,1.648712742684011,-0.6723809523809524
2023-01-01,6.327178517960097,3.5,1.66575434450007,-0.6759999999999999
2023-02-01,5.957820738137087,3.6,1.66575434450007,-0.7868421052631579
2023-03-01,4.917719362889961,3.5,1.66575434450007,-0.6395652173913043
2023-04-01,4.950079879124369,3.4,1.1522812770000002,-0.5559999999999999
2023-05-01,4.131851231385042,3.6,1.1522812770000002,-0.5581818181818181
2023-06-01,3.070617072997095,3.6,1.1522812770000002,-0.8914285714285713
2023-07-01,3.287749268428297,3.5,1.9788954290138605,-0.9289999999999999
2023-08-01,3.722504803505289,3.7,1.9788954290138605,-0.7339130434782608
2023-09-01,3.687206638119256,3.7,1.9788954290138605,-0.643
2023-10-01,3.2512659098611785,3.9,1.246225892031605,-0.26952380952380955
2023-11-01,3.1333462745911866,3.7,1.246225892031605,-0.3795238095238095
2023-12-01,3.3159099427102934,3.8,1.246225892031605,-0.437
2024-01-01,3.0883429864855705,3.7,0.9971566300630785,-0.2647619047619048
2024-02-01,3.157074141648697,3.9,0.9971566300630785,-0.3365
2024-03-01,3.4868349120836584,3.9,0.9971566300630785,-0.3795
2024-04-01,3.3607951262196734,3.9,1.5287743439923007,-0.33409090909090905
2024-05-01,3.244278584003113,3.9,1.5287743439923007,-0.3740909090909091
2024-06-01,2.9702579486470926,4.1,1.5287743439923007,-0.431578947368421
2024-07-01,2.9414757935583014,4.2,1.2509673365161733,-0.24727272727272728
2024-08-01,2.607144490692037,4.2,1.2509673365161733,-0.09454545454545454
2024-09-01,2.4264830315416708,4.1,1.2509673365161733,0.101
2024-10-01,2.578844053871343,4.1,1.0623528378474356,0.12318181818181818
2024-11-01,2.719472461284833,4.2,1.0623528378474356,0.09842105263157895
2024-12-01,2.870690967509981,4.1,1.0623528378474356,0.1657142857142857
2025-01-01,2.9909783078999608,4.0,0.7273417476547195,0.35714285714285715
2025-02-01,2.8015834477613355,4.2,0.7273417476547195,0.24105263157894738
2025-03-01,2.381981462805549,4.2,0.7273417476547195,0.31047619047619046
2025-04-01,2.32538823025783,4.2,1.4766471319777041,0.5014285714285714
2025-05-01,2.3772651073680873,4.3,1.4766471319777041,0.5038095238095238
2025-06-01,2.680453865910226,4.1,1.4766471319777041,0.49450000000000005
2025-07-01,2.742618052167134,4.3,2.0084741945977314,0.5095454545454546
2025-08-01,2.9385917430316155,4.3,2.0084741945977314,0.5609523809523809
2025-09-01,3.0225715847133294,4.4,2.0084741945977314,0.5519047619047619
2025-10-01,2.729136238202212,4.4,1.0434713430533815,0.5404545454545455
2025-11-01,2.6964439164939513,4.5,1.0434713430533815,0.543888888888889
2025-12-01,2.653304114557753,4.4,1.0434713430533815,0.6422727272727273
2026-01-01,2.391201432150014,4.3,1.4104372130999243,0.6765
2026-02-01,2.4340041103732224,4.4,1.4104372130999243,0.6542105263157895
2026-03-01,3.2859577528651984,4.3,1.4104372130999243,0.5313636363636364
2026-04-01,3.7792458367415627,4.3,1.9126791450913672,0.52
2026-05-01,4.166614684049641,4.3,,0.489
2026-06-01,3.463530729385411,4.2,,0.3576190476190476
2026-07-01,,4.2,,0.3768181818181818
2026-08-01,,4.2,,0.44333333333333336
