date,SP500,FTSE100
2022-01-03,4796.56005859375,
2022-01-04,4793.5400390625,7505.2001953125
2022-01-05,4700.580078125,7516.89990234375
2022-01-06,4696.0498046875,7450.39990234375
2022-01-07,4677.02978515625,7485.2998046875
2022-01-10,4670.2900390625,7445.2998046875
2022-01-11,4713.06982421875,7491.39990234375
2022-01-12,4726.35009765625,7551.7001953125
2022-01-13,4659.02978515625,7563.89990234375
2022-01-14,4662.85009765625,7543.0
2022-01-17,4662.85009765625,7611.2001953125
2022-01-18,4577.10986328125,7563.60009765625
2022-01-19,4532.759765625,7589.7001953125
2022-01-20,4482.72998046875,7585.0
2022-01-21,4397.93994140625,7494.10009765625
2022-01-24,4410.1298828125,7297.2001953125
2022-01-25,4356.4501953125,7371.5
2022-01-26,4349.93017578125,7469.7998046875
2022-01-27,4326.509765625,7554.2998046875
2022-01-28,4431.85009765625,7466.10009765625
2022-01-31,4515.5498046875,7464.39990234375
2022-02-01,4546.5400390625,7535.7998046875
2022-02-02,4589.3798828125,7583.0
2022-02-03,4477.43994140625,7528.7998046875
2022-02-04,4500.52978515625,7516.39990234375
2022-02-07,4483.8701171875,7573.5
2022-02-08,4521.5400390625,7567.10009765625
2022-02-09,4587.18017578125,7643.39990234375
2022-02-10,4504.080078125,7672.39990234375
2022-02-11,4418.64013671875,7661.0
2022-02-14,4401.669921875,7531.60009765625
2022-02-15,4471.06982421875,7608.89990234375
2022-02-16,4475.009765625,7603.7998046875
2022-02-17,4380.259765625,7537.39990234375
2022-02-18,4348.8701171875,7513.60009765625
2022-02-21,4348.8701171875,7484.2998046875
2022-02-22,4304.759765625,7494.2001953125
2022-02-23,4225.5,7498.2001953125
2022-02-24,4288.7001953125,7207.0
2022-02-25,4384.64990234375,7489.5
2022-02-28,4373.93994140625,7458.2998046875
2022-03-01,4306.259765625,7330.2001953125
2022-03-02,4386.5400390625,7429.60009765625
2022-03-03,4363.490234375,7238.89990234375
2022-03-04,4328.8701171875,6987.10009765625
2022-03-07,4201.08984375,6959.5
2022-03-08,4170.7001953125,6964.10009765625
2022-03-09,4277.8798828125,7190.7001953125
2022-03-10,4259.52001953125,7099.10009765625
2022-03-11,4204.31005859375,7155.60009765625
2022-03-14,4173.10986328125,7193.5
2022-03-15,4262.4501953125,7175.7001953125
2022-03-16,4357.85986328125,7291.7001953125
2022-03-17,4411.669921875,7385.2998046875
2022-03-18,4463.1201171875,7404.7001953125
2022-03-21,4461.18017578125,7442.39990234375
2022-03-22,4511.60986328125,7476.7001953125
2022-03-23,4456.240234375,7460.60009765625
2022-03-24,4520.16015625,7467.39990234375
2022-03-25,4543.06005859375,7483.39990234375
2022-03-28,4575.52001953125,7473.10009765625
2022-03-29,4631.60009765625,7537.2998046875
2022-03-30,4602.4501953125,7578.7998046875
2022-03-31,4530.41015625,7515.7001953125
2022-04-01,4545.85986328125,7537.89990234375
2022-04-04,4582.64013671875,7558.89990234375
2022-04-05,4525.1201171875,7613.7001953125
2022-04-06,4481.14990234375,7587.7001953125
2022-04-07,4500.2099609375,7551.7998046875
2022-04-08,4488.27978515625,7669.60009765625
2022-04-11,4412.52978515625,7618.2998046875
2022-04-12,4397.4501953125,7576.7001953125
2022-04-13,4446.58984375,7580.7998046875
2022-04-14,4392.58984375,7616.39990234375
2022-04-18,4391.68994140625,7616.39990234375
2022-04-19,4462.2099609375,7601.2998046875
2022-04-20,4459.4501953125,7629.2001953125
2022-04-21,4393.66015625,7628.0
2022-04-22,4271.77978515625,7521.7001953125
2022-04-25,4296.1201171875,7380.5
2022-04-26,4175.2001953125,7386.2001953125
2022-04-27,4183.9599609375,7425.60009765625
2022-04-28,4287.5,7509.2001953125
2022-04-29,4131.93017578125,7544.60009765625
2022-05-02,4155.3798828125,7544.60009765625
2022-05-03,4175.47998046875,7561.2998046875
2022-05-04,4300.169921875,7493.5
2022-05-05,4146.8701171875,7503.2998046875
2022-05-06,4123.33984375,7387.89990234375
2022-05-09,3991.239990234375,7216.60009765625
2022-05-10,4001.050048828125,7243.2001953125
2022-05-11,3935.179931640625,7347.7001953125
2022-05-12,3930.080078125,7233.2998046875
2022-05-13,4023.889892578125,7418.2001953125
2022-05-16,4008.010009765625,7464.7998046875
2022-05-17,4088.85009765625,7518.39990234375
2022-05-18,3923.679931640625,7438.10009765625
2022-05-19,3900.7900390625,7302.7001953125
2022-05-20,3901.360107421875,7390.0
2022-05-23,3973.75,7513.39990234375
2022-05-24,3941.47998046875,7484.39990234375
2022-05-25,3978.72998046875,7522.7998046875
2022-05-26,4057.840087890625,7564.89990234375
2022-05-27,4158.240234375,7585.5
2022-05-30,4158.240234375,7600.10009765625
2022-05-31,4132.14990234375,7607.7001953125
2022-06-01,4101.22998046875,7533.0
2022-06-02,4176.81982421875,7533.0
2022-06-03,4108.5400390625,7533.0
2022-06-06,4121.43017578125,7608.2001953125
